study,site,sample_year,sample_month,latitude,longitude,sample_unit_size_sq_m,sasdate,max_depth,mean_depth,min_depth,biomass_kg_wet_per_sq_m,stipe_density_num_per_sq_m,individual_density_num_per_sq_m,percent_cover,has_bm,has_sd,has_id,has_pc,use_which,focalKelp,focalUnit,geometry,ecoregion,province,realm,focal_std_by_ecoregion,focal_std_by_province,focal_std_by_realm,focal_std_by_all,ln_focal_std_by_ecoregion,ln_focal_std_by_province,ln_focal_std_by_realm,ln_focal_std_by_all
dmr_rasher_steneck,10_1_1,2001,6,43.79686,-69.88665,1,2001-06-08,10,10,10,NA,NA,NA,2.1,54,0,0,2952,4,2.1,percent_cover,"c(-69.88665, 43.79686)",Gulf of Maine/Bay of Fundy,Cold Temperate Northwest Atlantic,Temperate Northern Atlantic,0.019098143236074273,0.018303774654820238,0.018303774654820238,0.018303774654820238,-3.537080913160872,-3.5647601031982865,-3.5647601031982865,-3.5647601031982865
dmr_rasher_steneck,10_1_10,2001,7,44.47173,-68.16106,1,2001-07-12,10,10,10,NA,NA,NA,2.5,54,0,0,2952,4,2.5,percent_cover,"c(-68.16106, 44.47173)",Gulf of Maine/Bay of Fundy,Cold Temperate Northwest Atlantic,Temperate Northern Atlantic,0.022735884804850323,0.021790207922405044,0.021790207922405044,0.021790207922405044,-3.419283408132531,-3.4485969635836446,-3.4485969635836446,-3.4485969635836446
dmr_rasher_steneck,10_1_11,2001,7,44.45761,-68.12119,1,2001-07-12,10,10,10,NA,NA,NA,7.7,54,0,0,2952,4,7.7,percent_cover,"c(-68.12119, 44.45761)",Gulf of Maine/Bay of Fundy,Cold Temperate Northwest Atlantic,Temperate Northern Atlantic,0.070026525198939,0.06711384040100753,0.06711384040100753,0.06711384040100753,-2.525397134277041,-2.5624725021885366,-2.5624725021885366,-2.5624725021885366
dmr_rasher_steneck,10_1_12,2002,5,43.888315,-69.546303,1,2002-05-21,10,10,10,NA,NA,NA,77,54,0,0,2952,4,77,percent_cover,"c(-69.546303, 43.888315)",Gulf of Maine/Bay of Fundy,Cold Temperate Northwest Atlantic,Temperate Northern Atlantic,0.7002652519893899,0.6711384040100753,0.6711384040100753,0.6711384040100753,-0.3421167843645158,-0.38398975705052185,-0.38398975705052185,-0.38398975705052185
dmr_rasher_steneck,10_1_13,2002,6,44.150408,-68.63427,1,2002-06-06,10,10,10,NA,NA,NA,0,54,0,0,2952,4,0,percent_cover,"c(-68.63427, 44.150408)",Gulf of Maine/Bay of Fundy,Cold Temperate Northwest Atlantic,Temperate Northern Atlantic,0,0,0,0,-4.605170185988091,-4.605170185988091,-4.605170185988091,-4.605170185988091
dmr_rasher_steneck,10_1_14,2002,6,44.342009,-68.309132,1,2002-06-11,10,10,10,NA,NA,NA,0,54,0,0,2952,4,0,percent_cover,"c(-68.309132, 44.342009)",Gulf of Maine/Bay of Fundy,Cold Temperate Northwest Atlantic,Temperate Northern Atlantic,0,0,0,0,-4.605170185988091,-4.605170185988091,-4.605170185988091,-4.605170185988091
dmr_rasher_steneck,10_1_15,2005,6,44.3892,-68.1861,1,2005-06-15,10,10,10,NA,NA,NA,72,54,0,0,2952,4,72,percent_cover,"c(-68.1861, 44.3892)",Gulf of Maine/Bay of Fundy,Cold Temperate Northwest Atlantic,Temperate Northern Atlantic,0.6547934823796893,0.6275579881652652,0.6275579881652652,0.6275579881652652,-0.4082788393702908,-0.45011004425846507,-0.45011004425846507,-0.45011004425846507
dmr_rasher_steneck,10_1_16,2007,5,44.3724,-68.8086,1,2007-05-26,10,10,10,NA,NA,NA,0,54,0,0,2952,4,0,percent_cover,"c(-68.8086, 44.3724)",Gulf of Maine/Bay of Fundy,Cold Temperate Northwest Atlantic,Temperate Northern Atlantic,0,0,0,0,-4.605170185988091,-4.605170185988091,-4.605170185988091,-4.605170185988091
dmr_rasher_steneck,10_1_17,2007,5,44.1013,-68.8046,1,2007-05-29,10,10,10,NA,NA,NA,0.5,54,0,0,2952,4,0.5,percent_cover,"c(-68.8046, 44.1013)",Gulf of Maine/Bay of Fundy,Cold Temperate Northwest Atlantic,Temperate Northern Atlantic,0.004547176960970065,0.004358041584481009,0.004358041584481009,0.004358041584481009,-4.230358327490618,-4.243445104573438,-4.243445104573438,-4.243445104573438
dmr_rasher_steneck,10_1_18,2007,5,44.3819,-68.7771,1,2007-05-26,10,10,10,NA,NA,NA,1,54,0,0,2952,4,1,percent_cover,"c(-68.7771, 44.3819)",Gulf of Maine/Bay of Fundy,Cold Temperate Northwest Atlantic,Temperate Northern Atlantic,0.00909435392194013,0.008716083168962017,0.008716083168962017,0.008716083168962017,-3.958362593810817,-3.9783720622520917,-3.9783720622520917,-3.9783720622520917
